comment,sentiment
کس میدونه چه جوری از این ها میشه شکایت کرد لطفاً در نظرها بنویسید تا از این بی مسولیتی ها و ناهنجاری که باز می‌تونه به خودمون و همشهریها لطمه بزند جلوگیری کنیم متاسفانه ناحیه پستی باکری به معنای واقعی بی ارزش ترین و بی مسوولیت ترین هست,Negative
اف بر شهرداری که درخت را وسط میدان انداخته. طراحی بدتر از این ممکن نبود,Negative
خیلی جای بکری هس حتما یه سر برید👌,Positive
آب بسیار کثیف است، متراژ هم کم,Negative
افتضاح چون یه شماره تماس نداره خیرسرش,Negative
فروشگاه خوبیه پیشنهاد می‌کنم برید 👌🏼👍🏼,Positive
طبیعت زیبای روستای پیران,Positive
ان شاالله بشه کار مردم راه به حق راه بیفته و تصمیمات مثبتی گرفته بشه والا جدیدکردن ساختمون فایده‌ای نداره متاسفانه از نظرعملکرد خیلی ضعیفن و فقط حرف میزنن و فقط حرف !,Negative
آسانسوروآبگرمکن نوشیدنی وکولرنداره.اخلاقم که پسندنبود.,Negative
منطقه گردشگری,Neutral
افتضاح . موقع خسارت میفرستن پیش کارشناسایی که کمترین خسارت رو میدن که با اون مبالغ اصلا کسی ماشین تعمیر نمی کنه.,Negative
اگه درد استخوان هستید حتما یه سر بزنید,Positive
پیتزا استیک خوردیم که استیکش اصلا نپخته بود،,Negative
اصفهان شهر پاک و زیبای خدا،هر جای اصفهان باشی و هوای اصفهان رو تنفس کنی اونجا بهشته،اینجا واسه مسافرین ماههای گرم سال جای خوبیه,Positive
خیلی کوچیک و به هم ریختس,Negative
عکسها از نمای بیرون و داخل مدرسه,Neutral
فعلا که توی دریاچه خالیه و قبلا هم که دریاچه پر بود خیلی کثیف و بد بو بود,Negative
افتضاح.تلفن هم ندارند,Negative
فقط چون رایگان هست که نباید بهش امتیاز داد ، رایگان هست چون درمانگاه تامین اجتماعی و کارگریه پس ما باید ازشون خدمات درست بخواهیم,Negative
سلام. والامن کتعجب کردم دیدم ووستان نوشتن کارراه انداختن. چون من مراجعه کردم تودههءفجر کمیزخدمت دایرشده بودکمثلایکروزه شناسنامه وکارتملی صادربشه. ولی موقعیکه رفتم خلوت بود، صدای هروکر، خنده ای میومدازیکی ازاتاقها، کمتوجه شدم کارمنداین کدورهمی گرفتن، ووقتی منودیدن،فکرمیکنید،چی گفتن؟ یکنفرشون که مسن تر بودباهمون خنده رولبش کازجُک همکارش نشأت گرفته بودگفت چیه اقاچی میخای؟ گفتم سلام، اومدم واسه تعویض شناسنامه وکارتملی، گفتن دهه فجرزودمیدن انگار. اقاپوزخندی زد، خدا شاهده بامامرضاقسم گفت، ما وقت وقتش کار نمیکنیم، حالاکه...... گفتنش خوبیت نداره. فقط اینو گفتم بهش کالان مثلاافتخارم میکنی باین حرفت وکارنکردنت.وباکمال تاسف متوجه شدم کمیخاد بگه اره، کارتون واسه مدارکه باارزشی پیش ماگیره واسه همینم مجبوریدهرطورمابخایم عمل کنید، کسی هم مخالف باشه، کارشومیندازیم راحت چند ماه عقبتر. اخه شمابگیدمملکت مگه بزرگترنداره؟ تا الان فکرمیکردم واسه کارای اداری وکمبودامکاناته کاینقدردیرکارای ملتوراه میندازن توثبت احوال. اما بوضوح دیدم که نخیر، علتش کم کاری وبی وجدانیه کارمنداشه،وهمینطور نبودن نظارتی براین کارمندان کبایدبجای اینکه مردمو ولی نعمتشون بدونن، وخدمتگذارملت باشن، کاملابرعکس شده قضیه، اوناشدن سرورملت وارباب. کالبته اربابای گذشته لااقل مالواموالی داشتن یا چیزی  بارشون بود بالاخره ارباب میگفتن بهش. اینانمدونم چرا احسا سشودارن. اخه یکی نیست بگه اگرهمین ملت نبود ن کتو کاراشونو بکنی، کالان باس غاز میچروندی، ولی الان داری ناشکری میکنی ودرحق بنده خدا ظلم. اینم بدونن کحق الناسه عظیمی گردنشون هست کخدای یزرگ هم فرموده، ازحق الناس نمی گذره، مگر اینکه از اون بنده حلالیت بگیره ودین رو ادا کنه. کخوب بااین تفاسیروای بحالشون. خدا خود ش براه راست هدایمتون کنه. انشاله. یاعلی. 🌹,Negative
